Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Password,Access
10001,Garcia,Manuel III,10/11/1983,"Valero Carpark Building Valero Street 1227, Makati City",966-860-270,44-4506057-3,820127000000,442-605-657-000,691295000000,Regular,Chief Executive Officer,N/A,90000.00,1500.00,2000.00,1000.00,45000.00,535.71,User12345,YES
10002,Lim,Antonio,06/19/1988,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171-867-411,52-2061274-9,331736000000,683-102-776-000,663905000000,Regular,Chief Operating Officer,"Garcia, Manuel III",60000.00,1500.00,2000.00,1000.00,30000.00,357.14,User12345,YES
10003,Aquino,Bianca Sofia,08/04/1989,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",966-889-370,30-8870406-2,177451000000,971-711-280-000,171520000000,Regular,Chief Finance Officer,"Garcia, Manuel III",60000.00,1500.00,2000.00,1000.00,30000.00,357.14,User12345,YES
10004,Reyes,Isabella,06/16/1994,"460 Solanda Street Intramuros 1000, Manila",786-868-477,40-2511815-0,341911000000,876-809-437-000,416947000000,Regular,Chief Marketing Officer,"Garcia, Manuel III",60000.00,1500.00,2000.00,1000.00,30000.00,357.14,User12345,YES
10005,Hernandez,Eduard,09/23/1989,"National Highway, Gingoog,  Misamis Occidental",088-861-012,50-5577638-1,957436000000,031-702-374-000,952347000000,Regular,IT Operations and Systems,"Lim, Antonio",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,User12345,YES
10006,Villanueva,Andrea Mae,02/14/1988,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",918-621-603,49-1632020-8,382189000000,317-674-022-000,441093000000,Regular,HR Manager,"Lim, Antonio",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,User12345,YES
10007,San Jose,Brad ,03/15/1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,239193000000,672-474-690-000,210850000000,Regular,HR Team Leader,"Villanueva, Andrea Mae",42975.00,1500.00,800.00,800.00,21488.00,255.80,User12345,YES
10008,Romualdez,Alice,05/14/1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",983-606-799,55-4476527-2,545653000000,888-572-294-000,211386000000,Regular,HR Rank and File,"San, Jose Brad",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,YES
10009,Atienza,Rosie ,09/24/1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,708988000000,604-997-793-000,260108000000,Regular,HR Rank and File,"San, Jose Brad",22500.00,1500.00,500.00,500.00,11250.00,133.93,User12345,YES
10010,Alvaro,Roderick,03/30/1988,"#284 T. Morato corner, Scout Rallos Street, Quezon City",053-381-386,64-7605054-4,578115000000,525-420-419-000,799254000000,Regular,Accounting Head,"Aquino, Bianca Sofia ",52670.00,1500.00,1000.00,1000.00,26335.00,313.51,User12345,YES
10011,Salcedo,Anthony,09/14/1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,126445000000,210-805-911-000,218002000000,Regular,Payroll Manager,"Alvaro, Roderick",50825.00,1500.00,1000.00,1000.00,25413.00,302.53,User12345,YES
10012,Lopez,Josie ,01/14/1987,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,431709000000,218-489-737-000,113071000000,Regular,Payroll Team Leader,"Salcedo, Anthony",38475.00,1500.00,800.00,800.00,19238.00,229.02,User12345,YES
10013,Farala,Martha,01/11/1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",329-034-366,45-5656375-0,233694000000,210-835-851-000,631130000000,Regular,Payroll Rank and File,"Salcedo, Anthony",24000.00,1500.00,500.00,500.00,12000.00,142.86,User12345,YES
10014,Martinez,Leila,07/11/1970,"37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,27-2090996-4,515741000000,275-792-513-000,101205000000,Regular,Payroll Rank and File,"Salcedo, Anthony",24000.00,1500.00,500.00,500.00,12000.00,142.86,User12345,YES
10015,Romualdez,Fredrick ,03/10/1985,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,308367000000,598-065-761-000,223058000000,Regular,Account Manager,"Lim, Antonio",53500.00,1500.00,1000.00,1000.00,26750.00,318.45,User12345,YES
